# List of parameters used for this run.
n_cont= 20
sigma_noise= 5.67
sigma_cut= 22.68
sigma_tail= 11.34
len_min= 50
abnormal_f= 5000
abnormal_x= 5000
dx_interp= 1
l_p= 0.4
F_min= 30
F_max= 500
lim_p_max= 0.01
peak_width= 75
bin_width= 8
score_threshold= 0.5
delta1= 0.002
delta2= 0.8
F_scoring= 22.68
peaks_diff= 10000
len_diff= 0.2
Npeaks_min= 1
Npeaks_max= 100000
kNN= 6
r_cut= 0.3
Total number of traces passing the quality filter= 261
#COL2 	 Trace number
#COL3 	 Length [nm]
#COL4 	 Quality score
#COL5 	 Number of peaks
#COL6 	 Cluster number (=0 if COL6>r_cut)
#COL7 	 Cluster number without filters
#COL8 	 Distance from cluster center
tr 155	121	105.531	4	0	9	0.54062
tr 156	122	92	2	0	3	0.449467
tr 157	127	86.3796	4	0	6	0.451067
tr 158	114	86.9208	4	0	9	0.552141
tr 159	105	101	2	9	9	0.213595
tr 160	105	82.9188	3	9	9	0
tr 161	126	90.1267	7	0	9	0.779024
tr 162	142	99.7745	4	0	6	0.355172
tr 165	121	95.5151	5	0	6	0.421009
tr 166	133	98.4157	2	6	6	0.288759
tr 167	109	74.7676	5	0	9	0.684197
tr 168	101	86.6825	5	0	9	0.548197
tr 169	108	84.795	4	0	9	0.618939
tr 170	137	126.502	4	0	6	0.497377
tr 171	115	76.9735	3	0	9	0.702655
tr 172	132	86.2798	7	0	6	0.455386
tr 173	79	56.4662	2	0	9	5
tr 174	121	101.426	2	0	3	0.40563
tr 176	115	97.0634	6	0	9	0.574897
tr 177	115	88.5268	2	3	3	0.238392
tr 178	143	100.537	3	0	6	0.350497
tr 179	115	100.794	3	0	3	0.606112
tr 181	71	58	2	0	9	5
tr 183	127	119.6	4	0	6	0.553805
tr 184	125	124	3	0	6	0.520739
tr 185	132	89.7196	3	0	3	0.406164
tr 186	139	102.132	6	0	6	0.492874
tr 187	117	86.5398	4	0	3	0.421017
tr 188	106	96.3812	5	0	9	0.806939
tr 189	127	94	2	6	6	0.267493
tr 190	126	116.263	4	0	6	0.602868
tr 191	92	62.3625	3	0	9	0.507038
tr 192	120	99.1503	4	0	3	0.304382
tr 193	125	115.111	3	3	3	0.207369
tr 194	113	60.0025	3	0	9	0.383582
tr 195	117	80	2	3	3	0.204759
tr 197	126	84.4917	3	0	6	0.376798
tr 198	107	107	2	9	9	0.229551
tr 199	124	78.4455	5	0	3	0.472307
tr 200	114	79.9216	3	0	3	0.610226
tr 201	137	112.485	4	0	3	0.748366
tr 202	78	78	2	0	9	5
tr 203	114	106	2	3	3	0.246847
tr 204	109	59.8386	3	18	18	0
tr 205	130	95.378	4	3	3	0.236568
tr 208	111	101.953	5	0	9	0.451738
tr 209	119	108	2	0	6	0.593744
tr 211	126	86.474	2	3	3	0.183248
tr 212	115	108.423	3	0	3	0.332491
tr 213	109	105.962	4	0	3	0.679911
tr 214	124	95.4728	3	0	3	0.4787
tr 215	130	112.368	2	3	3	0.245341
tr 216	145	130.676	3	0	3	0.480398
tr 217	133	111.395	5	0	6	0.496325
tr 218	75	49	2	0	9	5
tr 219	131	121.419	3	0	3	0.352677
tr 221	135	94.6682	3	6	6	0.262853
tr 222	122	81.9183	2	3	3	0
tr 223	108	92.6454	3	0	3	0.456749
tr 224	121	121	2	3	3	0.261536
tr 225	137	118.393	3	0	6	0.332398
tr 226	121	104.425	3	0	3	0.306516
tr 227	116	108	2	0	3	0.345085
tr 228	111	111	4	0	3	0.465972
tr 229	122	71.4515	2	0	3	0.957092
tr 230	140	97.9292	2	0	3	0.895383
tr 231	84	57.1423	3	0	9	0.537052
tr 232	105	105	3	0	9	0.612576
tr 233	123	86.4533	3	3	3	0.226366
tr 234	106	77.5174	3	0	9	0.554129
tr 235	110	79.8521	3	0	6	0.593724
tr 236	137	127.36	4	0	6	0.453235
tr 237	135	114.357	4	6	6	0.266619
tr 238	103	82.5285	3	9	9	0.299096
tr 239	132	127.245	4	6	6	0.243434
tr 240	120	120	3	0	3	0.525646
tr 241	124	83.8373	4	0	3	0.342232
tr 242	142	121.385	5	0	3	0.628558
tr 243	127	88.0001	2	0	6	0.475679
tr 244	120	88.088	5	0	6	0.833929
tr 245	87	76	2	0	9	0.54015
tr 247	120	75.7316	2	3	3	0.216735
tr 248	113	112.506	3	0	9	0.366988
tr 249	126	108	2	15	15	0
tr 250	117	91.6494	2	0	3	0.382873
tr 251	132	81.3647	4	0	3	0.759756
tr 252	114	70.1217	4	0	3	0.595921
tr 253	126	91.12	4	0	6	0.506754
tr 254	115	93.5044	5	0	9	1.13718
tr 256	120	84.8742	4	0	6	0.490358
tr 257	73	45	1	0	9	5
tr 258	106	80.657	2	9	9	0.202041
tr 259	128	101.853	3	0	6	0.338255
tr 260	116	116	2	9	9	0.258476
tr 261	114	60.1613	2	18	18	0.287411
tr 262	116	95	2	3	3	0.220512
tr 263	109	66.9093	2	9	9	0.202659
tr 264	145	121	2	0	6	0.456881
tr 265	135	85	2	0	3	0.506327
tr 266	128	117.411	2	3	3	0.21718
tr 267	117	84.7075	2	0	6	0.466996
tr 268	127	88	2	0	9	0.427116
tr 269	118	72.4328	3	0	9	0.49488
tr 271	64	62	2	0	6	5
tr 272	74	72.5613	2	0	6	5
tr 273	83	60.3318	4	0	6	5
tr 274	75	55.1592	3	0	6	5
tr 276	80	49.1825	3	0	6	5
tr 277	83	45.8468	3	0	6	5
tr 278	72	53.6946	3	0	6	5
tr 279	83	78.5617	3	0	6	5
tr 280	75	38.6641	4	0	6	5
tr 281	67	44.1332	3	0	6	5
tr 282	78	48.825	3	0	6	5
tr 283	69	53.367	3	0	6	5
tr 284	67	66.5429	2	0	6	5
tr 285	82	76.3896	3	0	6	5
tr 286	79	73.3664	3	0	6	5
tr 287	73	72.6373	2	0	6	5
tr 288	88	65.0411	2	0	6	5
tr 289	69	52.8026	4	0	6	5
tr 290	94	88.3148	3	0	6	5
tr 291	85	59.9347	4	0	6	5
tr 292	93	63.2288	3	0	6	5
tr 293	77	67.841	3	0	6	5
tr 294	86	68.1522	4	0	6	5
tr 295	81	57.8466	5	0	6	5
tr 296	85	52.7949	5	0	6	5
tr 297	93	71.959	4	0	6	5
tr 298	82	54.4204	4	0	6	5
tr 299	74	55.8581	2	0	6	5
tr 300	78	76.4367	2	0	6	5
tr 301	72	53.9646	3	0	6	5
tr 302	69	63.8538	3	0	6	5
tr 303	65	61.648	2	0	6	5
tr 304	76	50.5658	3	0	6	5
tr 305	70	51.5086	2	0	6	5
tr 306	75	75	2	0	6	5
tr 307	86	71.4443	2	0	6	5
tr 308	72	42.6822	2	0	6	5
tr 309	61	45.0744	3	0	6	5
tr 310	79	73.3552	3	0	6	5
tr 311	72	72	2	0	6	5
tr 312	86	66.5815	4	0	6	5
tr 313	59	59	2	0	6	5
# Clusters
Total number of clusters: 18
 cluster 1 center: 75 size= 17 members: 75 55 48 18 61 12 62 80 63 28 54 98 20 53 4 40 8 
 cluster 2 center: 222 size= 14 members: 222 211 195 193 247 266 262 233 153 205 177 215 203 224 
 cluster 3 center: 121 size= 11 members: 121 104 106 124 110 103 128 114 115 102 131 
 cluster 4 center: 148 size= 9 members: 148 239 143 221 237 189 166 154 149 
 cluster 5 center: 160 size= 7 members: 160 258 263 159 198 260 238 
